Ghosts of War,353
Sky Devils,3
Uncharted,1776
Mission: Impossible - Fallout,1799
Joshua,119
Jurassic Park,1421 
Kandahar,179
Avengers: Infinity War,4596 
Jurassic World Dominion,2734
Last Flight Home,26
Guardians of the Galaxy Vol. 3,1523
Avengers: Endgame,9533
Jurassic World: Fallen Kingdom,2005
Angel Has Fallen,796
Mission: Impossible - Dead Reckoning Part One,1275
Haathi Mere Saathi,25
Spider-Man: No Way Home,6128
Olympus Has Fallen,872
The Cat Burglar,9
Jurassic World,1696
Mission: Impossible - Rogue Nation,616
Mission: Impossible - Ghost Protocol,675
Mission: Impossible III,997
London Has Fallen,672
The Maze Runner,732
Up,1086
Home Alone,625
Pain Hustlers,94
Hangover Square,72
Henry Fool,86
The Hunger Games,2229
Honest Thief,551
Taken,1177
Captain America: The Winter Soldier,1105
Captain America: Civil War,1574
Big Hero 6,634
How to Train Your Dragon,738
Harry Potter and the Deathly Hallows: Part 2,1112
The Hunger Games: Catching Fire,797
Spider-Man: Homecoming,1456
The Avengers,2112
Dune,5881
Oppenheimer,3429
White House Down,570
Black Panther,3490
Top Gun: Maverick,4265
The Hunger Games: Mockingjay - Part 1,683
Avatar,3851
Divergent,884
Guardians of the Galaxy,1600
Doctor Strange,1196
